,Lower Super Output Area,Names,2011 Census Population;Age Structure;All Ages,Population Density;Area (Hectares);,Country of Birth;% Not United Kingdom;2011,Household Language;% of households where no people aged 16 or over have English as a main language;2011,House Prices;Median Price (?;2014,House Prices;Sales;2014,Economic Activity;Unemployment Rate;2011,Qualifications;% No qualifications;2011,Public Transport Accessibility Levels (2014);Average Score;,Child Benefit;Total Number of Children;2013,"Household Income, 2011/12;Median Annual Household Income estimate (?",theft_number,theft_rate
0,E01000907,Camden 001A,1430,10.7,27.8,11.5,568500,26,9.9,20.0,4.6,315,30223,21.0,146.85314685314685
1,E01000908,Camden 001B,1581,17.5,29.5,8.9,350000,22,8.0,15.0,2.9,260,32049,7.0,44.27577482605946
2,E01000909,Camden 001C,1614,22.9,25.3,4.7,1412500,16,4.9,9.6,3.3,185,58469,10.0,61.95786864931846
3,E01000912,Camden 001D,1589,89.6,29.6,7.7,725000,11,8.8,18.0,4.6,290,31551,29.0,182.5047199496539
4,E01000913,Camden 001E,1710,161.7,28.0,2.6,996585,33,2.1,4.9,2.8,190,73024,49.0,286.5497076023392
5,E01000893,Camden 002A,1566,52.8,36.5,8.0,950000,25,3.6,3.7,3.2,155,64138,14.0,89.39974457215837
6,E01000894,Camden 002B,1389,22.2,41.0,9.2,1475000,22,3.6,3.0,3.9,135,72739,28.0,201.58387329013678
7,E01000895,Camden 002C,1630,9.8,39.3,13.6,1040000,22,3.0,9.5,3.9,165,53603,74.0,453.98773006134974
8,E01000896,Camden 002D,1692,15.1,38.3,9.7,1231150,29,3.9,4.7,4.4,130,70351,21.0,124.11347517730498
9,E01000899,Camden 002E,1667,108.3,35.8,6.4,1287000,27,2.5,6.2,3.0,150,76166,23.0,137.9724055188962
10,E01000910,Camden 003A,1472,13.0,22.5,3.7,1095000,13,3.9,6.9,4.7,195,64961,15.0,101.90217391304348
11,E01000911,Camden 003B,1559,8.8,26.6,9.4,775000,10,6.4,15.5,4.9,275,37176,12.0,76.97241821680565
12,E01000921,Camden 003C,1966,12.4,32.7,12.8,469500,21,4.8,9.2,5.9,235,35597,113.0,574.7711088504577
13,E01000923,Camden 003D,1494,8.5,26.0,5.8,620000,28,7.1,13.9,5.6,190,45322,22.0,147.2556894243641
14,E01000928,Camden 003E,1681,25.3,30.7,10.4,797000,22,5.7,17.2,5.7,280,35656,58.0,345.0327186198692
15,E01000878,Camden 004A,1624,19.2,46.0,13.5,855000,21,4.5,7.7,4.3,120,56251,6.0,36.94581280788177
16,E01000879,Camden 004B,1458,17.7,44.0,12.8,597500,22,4.5,5.2,4.9,120,64715,20.0,137.1742112482853
17,E01000880,Camden 004C,1602,20.4,49.8,18.7,1140000,23,3.3,4.9,5.8,165,69876,8.0,49.93757802746567
18,E01000884,Camden 004D,1469,24.5,42.3,13.5,1475000,37,3.4,4.9,2.7,165,71430,6.0,40.84411164057182
19,E01000885,Camden 004E,1484,30.4,41.5,12.3,1900000,17,3.1,10.8,2.6,140,78339,7.0,47.16981132075472
20,E01000871,Camden 005A,1664,30.6,37.6,12.5,925000,39,6.5,8.8,3.9,265,50050,24.0,144.23076923076923
21,E01000872,Camden 005B,1902,14.7,52.4,23.3,488000,20,5.5,11.2,5.1,275,32194,13.0,68.34910620399579
22,E01000873,Camden 005C,1639,12.2,32.1,10.6,590000,28,4.2,6.6,3.8,230,54005,13.0,79.31665649786454
23,E01000874,Camden 005D,1559,8.6,46.1,14.1,1075000,27,3.6,4.4,5.9,145,57465,19.0,121.87299550994226
24,E01000877,Camden 005E,1574,11.1,41.2,16.8,975000,25,5.2,6.3,5.0,160,54472,12.0,76.23888182973317
25,E01000886,Camden 006A,1445,10.3,29.6,7.1,782500,24,4.4,7.8,4.0,195,50302,23.0,159.16955017301038
26,E01000887,Camden 006B,1486,10.0,37.8,10.7,565000,19,5.8,10.0,4.8,200,44663,37.0,248.9905787348587
27,E01000888,Camden 006C,1605,9.4,32.4,9.0,649800,19,6.6,11.6,4.2,250,43520,15.0,93.45794392523364
28,E01000892,Camden 006D,1843,12.2,37.0,12.0,870000,19,5.0,9.5,4.8,335,43769,12.0,65.11123168746609
29,E01000903,Camden 006E,1439,10.2,37.1,10.3,949975,18,6.9,11.5,3.8,175,43891,26.0,180.68102849200832
30,E01000889,Camden 007A,1670,11.7,30.8,12.8,403500,14,11.8,26.4,3.6,385,25438,14.0,83.8323353293413
31,E01000890,Camden 007B,1640,7.6,38.1,17.5,495338,10,13.3,30.6,4.1,400,20034,14.0,85.3658536585366
32,E01000891,Camden 007C,1575,7.8,38.2,18.9,325000,8,13.8,29.2,3.2,390,19956,32.0,203.17460317460316
33,E01000901,Camden 007D,1977,10.6,38.9,18.1,445000,40,11.4,22.3,4.6,595,23151,33.0,166.91957511380878
34,E01000922,Camden 007E,1547,19.1,29.7,10.1,650000,21,6.0,14.3,5.9,290,30870,76.0,491.27343244990305
35,E01000927,Camden 007F,1738,10.1,33.5,10.6,890000,23,4.5,12.8,6.7,190,43205,99.0,569.620253164557
36,E01000881,Camden 008A,1510,14.8,57.0,18.4,783000,33,4.6,5.1,6.4,150,48802,26.0,172.18543046357615
37,E01000882,Camden 008B,1513,12.2,49.5,15.8,898500,18,2.6,3.2,5.4,120,66131,7.0,46.26569729015202
38,E01000883,Camden 008C,1326,14.1,59.2,25.7,770000,35,5.0,6.8,6.8,115,50701,76.0,573.1523378582202
